"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2012","-399999",""
"Afghanistan","2007","-739334",""
"Afghanistan","2002","137157",""
"Afghanistan","1997","-618616",""
"Afghanistan","1992","3257250",""
"Afghanistan","1987","-1705201",""
"Afghanistan","1982","-3504132",""
"Afghanistan","1977","-1173331",""
"Afghanistan","1972","-20000",""
"Afghanistan","1967","-20000",""
"Afghanistan","1962","-20000",""
"Albania","2012","-50002",""
"Albania","2007","-150503",""
"Albania","2002","-289785",""
"Albania","1997","-303340",""
"Albania","1992","-390826",""
"Albania","1987","25700",""
"Albania","1982","22403",""
"Albania","1977","-4402",""
"Albania","1972","-4402",""
"Albania","1967","-4402",""
"Albania","1962","-4402",""
"Algeria","2012","-50002",""
"Algeria","2007","-48998",""
"Algeria","2002","-57808",""
"Algeria","1997","-76196",""
"Algeria","1992","-103671",""
"Algeria","1987","-149003",""
"Algeria","1982","-100000",""
"Algeria","1977","-250000",""
"Algeria","1972","-273771",""
"Algeria","1967","-121335",""
"Algeria","1962","-284266",""
"Angola","2012","65543",""
"Angola","2007","82005",""
"Angola","2002","172194",""
"Angola","1997","-126311",""
"Angola","1992","142763",""
"Angola","1987","-150232",""
"Angola","1982","234149",""
"Angola","1977","13955",""
"Angola","1972","-88455",""
"Angola","1967","-201155",""
"Angola","1962","-135000",""
"Antigua and Barbuda","2012","-56",""
"Antigua and Barbuda","2007","-92",""
"Antigua and Barbuda","2002","-282",""
"Antigua and Barbuda","1997","4421",""
"Antigua and Barbuda","1992","2617",""
"Antigua and Barbuda","1987","-7629",""
"Antigua and Barbuda","1982","-8840",""
"Antigua and Barbuda","1977","-3492",""
"Antigua and Barbuda","1972","-2874",""
"Antigua and Barbuda","1967","-1625",""
"Antigua and Barbuda","1962","-1703",""
"Arab World","2012","354001",""
"Arab World","2007","4730460",""
"Arab World","2002","1153756",""
"Arab World","1997","-3223509",""
"Arab World","1992","-873718",""
"Arab World","1987","-1589449",""
"Arab World","1982","-444568",""
"Arab World","1977","1210788",""
"Arab World","1972","-1073042",""
"Arab World","1967","-795689",""
"Arab World","1962","-540331",""
"Argentina","2012","-99998",""
"Argentina","2007","-199997",""
"Argentina","2002","-180000",""
"Argentina","1997","-50000",""
"Argentina","1992","0",""
"Argentina","1987","120000",""
"Argentina","1982","80000",""
"Argentina","1977","-220000",""
"Argentina","1972","290000",""
"Argentina","1967","125000",""
"Argentina","1962","125000",""
"Armenia","2012","-50001",""
"Armenia","2007","-136009",""
"Armenia","2002","-143966",""
"Armenia","1997","-223873",""
"Armenia","1992","-496288",""
"Armenia","1987","-58313",""
"Armenia","1982","-22331",""
"Armenia","1977","35724",""
"Armenia","1972","86404",""
"Armenia","1967","103399",""
"Armenia","1962","70335",""
"Aruba","2012","1253",""
"Aruba","2007","-441",""
"Aruba","2002","6263",""
"Aruba","1997","6926",""
"Aruba","1992","14218",""
"Aruba","1987","-5194",""
"Aruba","1982","-1921",""
"Aruba","1977","-5470",""
"Aruba","1972","-3537",""
"Aruba","1967","-4275",""
"Aruba","1962","-4323",""
"Australia","2012","749997",""
"Australia","2007","1142686",""
"Australia","2002","662716",""
"Australia","1997","522944",""
"Australia","1992","351078",""
"Australia","1987","666233",""
"Australia","1982","456227",""
"Australia","1977","235744",""
"Australia","1972","264129",""
"Australia","1967","852782",""
"Australia","1962","382989",""
"Austria","2012","150001",""
"Austria","2007","159497",""
"Austria","2002","212687",""
