dyadid,org,sidea,sideaid,sideacomponents,sideb,sidebid,sidebcomponents,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,year,bestfatalityestimate,lowfatalityestimate,highfatalityestimate,location,gwnolocation,region,version
1-Feb,1,1920 Revolution Brigades,1644,,IS,1076,,2/9/2007,1,12/7/2007,1,1,12/7/2007,1,2007,25,25,25,Iraq,645,2,2.5-2015
10-Feb,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,12/2/2008,1,12/27/2008,1,0,,0,2008,64,54,66,Somalia,520,4,2.5-2015
10-Feb,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,12/2/2008,1,12/27/2008,1,0,,0,2009,548,500,633,Somalia,520,4,2.5-2015
10-Feb,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,12/2/2008,1,12/27/2008,1,1,12/5/2010,1,2010,202,196,223,Somalia,520,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,12/27/1991,1,12/13/1992,2,0,,0,1992,42,42,90,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,12/27/1991,1,12/13/1992,2,0,,0,1993,35,12,35,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,12/27/1991,1,12/13/1992,2,1,3/31/1994,3,1994,28,28,46,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,12/27/1991,1,1/24/1998,3,1,1/25/1998,1,1998,127,127,127,Kenya,501,4,2.5-2015
2-100,3,Kalenjin,1903,,Kikuyu,1795,,12/27/1991,1,1/21/2008,3,1,12/31/2008,5,2008,78,78,95,Kenya,501,4,2.5-2015
2-102,3,Kalenjin,1903,,Kisii,1796,,2/3/2008,1,2/5/2008,1,1,2/5/2008,1,2008,81,81,81,Kenya,501,4,2.5-2015
2-10247,3,Konianke,2130,,Kpelle,2026,,7/15/2013,1,7/17/2013,2,1,7/17/2013,2,2013,98,98,98,Guinea,438,4,2.5-2015
2-103,3,Kusasi,1941,,Mamprusi,1942,,12/9/2000,2,12/9/2000,2,0,,0,2000,30,7,68,Ghana,452,4,2.5-2015
2-103,3,Kusasi,1941,,Mamprusi,1942,,12/9/2000,2,12/9/2000,2,1,12/4/2001,2,2001,50,50,50,Ghana,452,4,2.5-2015
2-103,3,Kusasi,1941,,Mamprusi,1942,,12/9/2000,2,6/21/2008,1,1,6/27/2008,2,2008,55,54,57,Ghana,452,4,2.5-2015
2-104,1,Lashkar of Salarzai tribe,1657,,TTP,1199,,8/28/2008,1,10/1/2008,1,1,10/4/2008,1,2008,34,34,40,Pakistan,770,3,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,5/31/2006,5,4/24/2011,2,0,,0,2012,424,424,424,"Ethiopia, South Sudan","530, 626",4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,5/31/2006,5,4/24/2011,2,1,8/3/2013,1,2013,118,118,488,South Sudan,626,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,5/31/2006,5,5/31/2006,5,0,,0,2006,150,150,150,Sudan,625,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,5/31/2006,5,5/31/2006,5,1,8/15/2007,3,2007,60,60,80,Sudan,625,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,5/31/2006,5,3/13/2009,3,1,8/2/2009,1,2009,1195,1195,1195,Sudan,625,4,2.5-2015
2-105,3,Lou Nuer,1567,,Murle,1514,,5/31/2006,5,4/24/2011,2,0,,0,2011,1415,1415,1425,"South Sudan, Sudan","626, 625",4,2.5-2015
2-106,3,Hol Dinka,1767,,Lou Nuer,1567,,5/17/2008,1,5/17/2008,1,0,,0,2008,31,31,36,Sudan,625,4,2.5-2015
2-106,3,Hol Dinka,1767,,Lou Nuer,1567,,5/17/2008,1,5/17/2008,1,1,10/16/2009,1,2009,237,237,244,Sudan,625,4,2.5-2015
2-10676,1,Hizb-i Wahdat,1142,,Junbish-i Milli-yi Islami,1144,,3/15/1998,2,3/15/1998,2,1,3/19/1998,1,1998,101,101,101,Afghanistan,700,3,2.5-2015
2-10682,1,Forces of Sayed Mansur Naderi,2518,,Hizb-i Islami-yi Afghanistan,1141,,9/30/1995,3,10/29/1995,1,1,10/29/1995,1,1995,40,40,40,Afghanistan,700,3,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,10/30/1995,3,10/30/1995,3,0,,0,1995,36,36,36,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,10/30/1995,3,10/30/1995,3,0,,0,1996,152,152,152,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,10/30/1995,3,10/30/1995,3,0,,0,1997,100,100,100,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,10/30/1995,3,10/30/1995,3,1,9/14/1998,1,1998,58,58,58,Sudan,625,4,2.5-2015
2-107,1,LRA,1336,,SPLM/A,1312,,10/30/1995,3,3/5/2004,2,1,12/22/2004,1,2004,142,142,142,Sudan,625,4,2.5-2015
2-108,1,LTTE,1163,,LTTE - K,1233,,3/30/2004,1,5/21/2004,1,0,,0,2004,60,60,80,Sri Lanka,780,3,2.5-2015
2-108,1,LTTE,1163,,LTTE - K,1233,,3/30/2004,1,5/21/2004,1,0,,0,2005,30,30,58,Sri Lanka,780,3,2.5-2015
2-108,1,LTTE,1163,,LTTE - K,1233,,3/30/2004,1,5/21/2004,1,1,12/30/2006,1,2006,97,97,136,Sri Lanka,780,3,2.5-2015
2-109,3,Lumad,1234,,Moro,1235,,6/22/2006,1,6/30/2006,3,1,6/30/2006,3,2006,25,25,25,Philippines,840,3,2.5-2015
2-10920,3,Han Chinese,2460,,Uighur,2461,,6/26/2009,1,7/7/2009,2,1,7/7/2009,2,2009,187,187,683,China,710,3,2.5-2015
11-Feb,3,Ali-Gaf subclan of Abgal clan (Hawiye) ,1430,,Mahadade subclan of Abgal clan (Hawiye) ,1499,,8/18/2002,2,8/20/2002,1,1,8/23/2002,2,2002,37,37,37,Somalia,520,4,2.5-2015
2-110,3,Kikuyu,1795,,Luo,1768,,12/31/2007,1,1/28/2008,1,1,2/18/2008,1,2008,42,42,82,Kenya,501,4,2.5-2015
2-111,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,5/25/2002,2,8/11/2013,2,0,,0,2013,229,229,248,Sudan,625,4,2.5-2015
2-111,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,5/25/2002,2,5/25/2002,2,1,5/25/2002,2,2002,53,27,53,Sudan,625,4,2.5-2015
2-111,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,5/25/2002,2,12/31/2004,5,1,12/31/2004,5,2004,69,69,69,Sudan,625,4,2.5-2015
2-111,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,5/25/2002,2,8/11/2013,2,0,,0,2014,395,346,495,Sudan,625,4,2.5-2015
2-11123,2,Supporters of Awami League,1215,,Supporters of Jamaat-e-Islami,2765,,1/31/2013,1,12/13/2013,1,1,12/17/2013,1,2013,31,24,33,Bangladesh,771,3,2.5-2015
2-112,3,Mangal,1658,,Turi,1652,,4/7/2007,1,11/17/2007,1,0,,0,2007,187,187,273,Pakistan,770,3,2.5-2015
2-112,3,Mangal,1658,,Turi,1652,,4/7/2007,1,11/17/2007,1,1,9/23/2008,1,2008,58,58,58,Pakistan,770,3,2.5-2015
2-11230,3,Mohajir,2848,,Pashtun,2847,,3/14/1989,2,3/18/1989,1,1,8/20/1989,1,1989,47,45,47,Pakistan,770,3,2.5-2015
2-11231,3,Mohajir,2848,,Sindhi,2849,,1/25/1989,1,4/19/1989,1,0,,0,1989,67,67,67,Pakistan,770,3,2.5-2015
2-11231,3,Mohajir,2848,,Sindhi,2849,,1/25/1989,1,4/19/1989,1,1,7/15/1990,1,1990,252,252,252,Pakistan,770,3,2.5-2015
2-11241,3,Jatoi,2864,,Meher,2863,,6/27/1990,2,6/27/1990,2,1,6/27/1990,2,1990,28,28,28,Pakistan,770,3,2.5-2015
2-11286,3,Assamese,2922,,Bodo,1675,,8/12/1989,2,8/12/1989,2,1,8/12/1989,2,1989,120,120,151,India,750,3,2.5-2015
2-113,1,Mara 18 (Guatemala),1637,,Mara Salvatrucha (Guatemala),1638,,4/26/2001,3,8/15/2005,1,1,9/19/2005,1,2005,54,54,54,Guatemala,90,5,2.5-2015
2-11301,2,Supporters of MQM,2941,,Supporters of PPP,2930,,2/14/1990,1,4/14/1990,1,1,4/14/1990,1,1990,26,26,26,Pakistan,770,3,2.5-2015
2-11308,3,Khadadkhel,2952,,Oatizai,2951,,9/18/1992,2,9/18/1992,2,1,9/18/1992,2,1992,50,50,50,Pakistan,770,3,2.5-2015
