ConflictID,DyadID,Year,LocationInc,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,BdBest,BdLow,BdHigh,TypeOfConflict,BattleLocation,GWNoA,GWNoA2nd,GwNoB,GWNoB2nd,GWNoLoc,GWNoBattle,Region,Version
6,260,1993,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,110,110,110,3,"Iran, Iraq",630,,,,630,"630, 645",2,5.0-2015
6,260,1996,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,27,27,29,3,"Iran, Iraq",630,,,,630,"630, 645",2,5.0-2015
6,260,1990,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,31,31,335,3,Iran,630,,,,630,630,2,5.0-2015
10,"217, 220",1989,Philippines,Government of Philippines,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","1010, 1011",,2,,822,801,885,3,Philippines,840,,,,840,840,3,5.0-2015
10,"217, 220",1990,Philippines,Government of Philippines,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","1010, 1011",,2,,1165,1165,1174,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,1991,Philippines,Government of Philippines,,CPP,1010,,2,,1514,1514,1933,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,1992,Philippines,Government of Philippines,,CPP,1010,,2,,430,430,454,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,1993,Philippines,Government of Philippines,,CPP,1010,,2,,99,99,114,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,1994,Philippines,Government of Philippines,,CPP,1010,,2,,69,69,73,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,1995,Philippines,Government of Philippines,,CPP,1010,,2,,36,36,41,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,1997,Philippines,Government of Philippines,,CPP,1010,,2,,32,32,32,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,1999,Philippines,Government of Philippines,,CPP,1010,,2,,93,93,98,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2000,Philippines,Government of Philippines,,CPP,1010,,2,,140,140,140,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2001,Philippines,Government of Philippines,,CPP,1010,,2,,97,93,299,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2002,Philippines,Government of Philippines,,CPP,1010,,2,,280,280,291,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2003,Philippines,Government of Philippines,,CPP,1010,,2,,231,227,236,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2004,Philippines,Government of Philippines,,CPP,1010,,2,,270,264,344,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2005,Philippines,Government of Philippines,,CPP,1010,,2,,234,222,243,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2006,Philippines,Government of Philippines,,CPP,1010,,2,,310,310,1018,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2007,Philippines,Government of Philippines,,CPP,1010,,2,,132,132,1077,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2008,Philippines,Government of Philippines,,CPP,1010,,2,,184,184,217,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2009,Philippines,Government of Philippines,,CPP,1010,,2,,377,377,400,3,Philippines,840,,,,840,840,3,5.0-2015
