ConflictId,Year,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
1-Jan,1946,Bolivia,Government of Bolivia,,Popular Revolutionary Movement,1580,,2,,2,1,3,6/30/1946,4,6/30/1946,4,1,7/21/1946,1,145,,,,145,5,4.0-2015
1-Jan,1952,Bolivia,Government of Bolivia,,MNR,1581,,2,,1,1,3,6/30/1946,4,4/9/1952,1,1,4/12/1952,1,145,,,,145,5,4.0-2015
1-Jan,1967,Bolivia,Government of Bolivia,,ELN,1582,,2,,1,1,3,6/30/1946,4,3/31/1967,3,1,10/16/1967,1,145,,,,145,5,4.0-2015
10-Jan,1946,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1947,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1948,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1949,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1950,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1951,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1952,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1953,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,0,,,840,,,,840,3,4.0-2015
10-Jan,1954,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,7/31/1946,4,7/31/1946,4,1,12/31/1954,5,840,,,,840,3,4.0-2015
10-Jan,1969,Philippines,Government of Philippines,,CPP,1010,,2,,1,1,3,7/31/1946,4,9/30/1969,4,0,,,840,,,,840,3,4.0-2015
